DATE,Production
2/1/2008,108.2353
3/1/2008,100.4386
4/1/2008,90.9944
5/1/2008,91.2348
6/1/2008,103.9581
7/1/2008,110.7631
8/1/2008,107.5665
9/1/2008,97.7183
10/1/2008,90.9979
11/1/2008,93.8057
12/1/2008,109.4221
1/1/2009,116.8316
2/1/2009,104.4202
3/1/2009,97.8529
4/1/2009,88.1973
5/1/2009,87.5366
6/1/2009,97.2387
7/1/2009,103.9086
8/1/2009,105.7486
9/1/2009,94.8823
10/1/2009,89.2977
11/1/2009,89.3585
12/1/2009,110.6844
1/1/2010,119.0166
2/1/2010,110.533
3/1/2010,98.2672
4/1/2010,86.3
5/1/2010,90.8364
6/1/2010,104.3538
7/1/2010,112.8066
8/1/2010,112.9014
9/1/2010,100.1209
10/1/2010,88.9251
11/1/2010,92.775
12/1/2010,114.3266
1/1/2011,119.488
2/1/2011,107.3753
3/1/2011,99.1028
4/1/2011,89.3583
5/1/2011,90.0698
6/1/2011,102.8204
7/1/2011,114.7068
8/1/2011,113.5958
9/1/2011,99.4712
10/1/2011,90.3566
11/1/2011,93.8095
12/1/2011,107.3312
1/1/2012,111.9646
2/1/2012,103.3679
3/1/2012,93.5772
4/1/2012,87.5566
5/1/2012,92.7603
6/1/2012,101.14
7/1/2012,113.0357
8/1/2012,109.8601
9/1/2012,96.7431
10/1/2012,90.3805
11/1/2012,94.3417
12/1/2012,105.2722
1/1/2013,115.501
2/1/2013,106.734
3/1/2013,102.9948
4/1/2013,91.0092
5/1/2013,90.9634
6/1/2013,100.6957
7/1/2013,110.148
8/1/2013,108.1756
9/1/2013,99.2809
10/1/2013,91.7871
11/1/2013,97.2853
12/1/2013,113.4732
1/1/2014,124.2549
2/1/2014,112.8811
3/1/2014,104.7631
4/1/2014,90.2867
5/1/2014,92.134
6/1/2014,101.878
7/1/2014,108.5497
8/1/2014,108.194
9/1/2014,100.4172
10/1/2014,92.3837
11/1/2014,99.7033
12/1/2014,109.3477
1/1/2015,120.2696
2/1/2015,116.3788
3/1/2015,104.4706
4/1/2015,89.7461
5/1/2015,91.093
6/1/2015,102.6495
7/1/2015,111.6354
8/1/2015,110.5925
9/1/2015,101.9204
10/1/2015,91.5959
11/1/2015,93.0628
12/1/2015,103.2203
1/1/2016,117.0837
2/1/2016,106.6688
3/1/2016,95.3548
4/1/2016,89.3254
5/1/2016,90.7369
6/1/2016,104.0375
7/1/2016,114.5397
8/1/2016,115.5159
9/1/2016,102.7637
10/1/2016,91.4867
11/1/2016,92.89
12/1/2016,112.7694
1/1/2017,114.8505
2/1/2017,99.4901
3/1/2017,101.0396
4/1/2017,88.353
5/1/2017,92.0805
6/1/2017,102.1532
7/1/2017,112.1538
8/1/2017,108.9312
9/1/2017,98.6154
10/1/2017,93.6137
11/1/2017,97.3359
12/1/2017,114.7212
