DATE,WIND,RAIN,T.MAX,T.MIN,T.MIN.G
1978-01-01,14.71,1.4,8.3,7.0,0.5
1978-01-02,17.08,6.6,9.1,1.9,-4.5
1978-01-03,21.96,11.3,5.7,3.1,-2.0
1978-01-04,8.38,1.9,8.9,2.6,-1.2
1978-01-05,13.88,0.0,9.4,4.6,2.1
1978-01-06,11.29,0.0,10.8,2.5,2.1
1978-01-07,8.08,0.0,9.9,7.7,4.0
1978-01-08,8.12,1.3,8.5,-3.0,-11.0
1978-01-09,17.33,0.8,6.0,2.3,-2.5
1978-01-10,16.62,4.8,4.4,1.0,-4.5
1978-01-11,19.41,0.0,4.4,0.2,-5.8
1978-01-12,11.58,0.0,3.9,-1.0,-7.5
1978-01-13,9.87,0.1,7.0,-1.2,-6.9
1978-01-14,4.17,0.0,6.9,3.5,1.0
1978-01-15,1.58,1.9,4.4,3.1,-1.0
1978-01-16,7.87,0.5,3.2,1.8,-2.0
1978-01-17,8.33,0.2,1.6,-1.8,-9.2
1978-01-18,7.92,6.2,5.7,-1.5,-9.0
1978-01-19,10.29,0.1,6.3,0.3,-4.0
1978-01-20,13.79,0.2,7.6,1.4,-4.8
1978-01-21,11.08,3.8,9.3,1.0,-7.0
1978-01-22,15.71,0.1,9.2,2.3,-3.0
1978-01-23,13.5,0.2,11.0,2.2,-4.0
1978-01-24,13.92,0.0,7.4,1.5,-5.0
1978-01-25,8.33,0.3,5.8,-0.2,-8.0
1978-01-26,16.5,4.7,5.0,0.0,-5.5
1978-01-27,11.63,2.5,8.3,1.5,-5.0
1978-01-28,15.87,0.0,5.5,0.5,-3.0
1978-01-29,25.54,0.0,4.4,1.5,-2.0
1978-01-30,6.08,2.0,7.5,-1.3,-9.5
1978-01-31,8.0,2.8,9.9,-2.2,-10.0
1978-02-01,20.96,3.5,10.0,2.6,-4.7
1978-02-02,14.54,0.0,7.7,1.5,-3.5
1978-02-03,8.12,16.7,9.6,0.8,-3.1
1978-02-04,8.75,5.8,10.3,4.7,0.1
1978-02-05,13.46,0.7,8.4,4.0,-2.9
1978-02-06,9.59,4.8,8.2,2.3,-4.2
1978-02-07,5.5,0.1,7.0,3.0,-3.0
1978-02-08,9.38,2.0,5.9,4.1,-3.0
1978-02-09,15.71,0.2,3.6,0.5,-4.5
1978-02-10,6.79,0.2,2.8,-1.2,-8.0
1978-02-11,5.09,0.8,2.2,-4.8,-4.9
1978-02-12,9.42,3.9,1.5,-3.2,-7.0
1978-02-13,9.08,0.0,2.6,-5.3,-13.5
1978-02-14,5.75,0.0,4.9,-4.5,-11.0
1978-02-15,11.87,0.2,3.6,-3.5,-9.0
1978-02-16,14.46,0.0,3.5,1.8,-4.0
1978-02-17,13.33,0.0,4.3,2.0,-5.0
1978-02-18,23.42,0.0,3.5,2.0,-4.5
1978-02-19,27.71,0.0,4.0,1.5,-3.1
1978-02-20,16.75,2.9,4.7,-0.5,-4.9
1978-02-21,10.08,1.0,7.2,0.1,-3.9
1978-02-22,15.37,2.1,10.0,3.3,-1.2
1978-02-23,13.0,0.5,10.2,6.5,3.1
1978-02-24,14.92,0.1,13.3,7.2,1.0
1978-02-25,9.87,0.1,9.1,6.7,0.0
1978-02-26,3.54,2.7,10.0,5.1,-2.7
1978-02-27,6.29,0.7,12.4,2.0,-6.0
1978-02-28,10.54,14.2,11.4,5.1,-4.8
1978-03-01,12.29,0.3,10.0,6.9,2.7
1978-03-02,6.38,0.2,10.6,6.8,-0.2
1978-03-03,2.29,0.0,9.8,1.0,-6.5
1978-03-04,4.67,0.0,9.2,-0.8,-9.0
